年份,旅館名稱,散客人數(FIT),團體客人數(Group),住客總人次,本國旅客,日本,美國,南韓,港澳,新加坡,馬來西亞,泰國,中國大陸,歐洲地區
2023,晶英國際行館,31812.0,2756.0,34568.0,28434.0,582.0,1120.0,683.0,1505.0,256.0,67.0,79.0,134.0,569.0
2023,礁溪老爺酒店,119440.0,20094.0,139534.0,132696.0,417.0,1381.0,211.0,2781.0,850.0,294.0,33.0,87.0,127.0
2023,蘭城晶英酒店,227479.0,10066.0,237545.0,227329.0,186.0,1249.0,4.0,3653.0,3418.0,189.0,11.0,62.0,395.0
2023,長榮鳳凰酒店(礁溪),86149.0,25024.0,111173.0,109237.0,112.0,343.0,238.0,751.0,199.0,57.0,74.0,33.0,22.0
2023,綠舞國際觀光飯店,31416.0,20946.0,52362.0,52270.0,0.0,2.0,0.0,53.0,6.0,7.0,0.0,4.0,4.0
2023,幼獅大飯店,1030.0,1522.0,2552.0,2549.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,山泉大飯店,29950.0,47791.0,77741.0,66152.0,6.0,6.0,3364.0,5111.0,1297.0,1571.0,70.0,8.0,6.0
2023,悅川酒店,43976.0,31866.0,75842.0,74635.0,12.0,56.0,8.0,600.0,377.0,38.0,2.0,22.0,35.0
2023,凱渡廣場酒店,35585.0,22967.0,58552.0,58298.0,16.0,57.0,0.0,50.0,65.0,24.0,4.0,18.0,6.0
2023,礁溪麒麟酒店,21659.0,1635.0,23294.0,21725.0,60.0,39.0,94.0,244.0,73.0,69.0,37.0,66.0,38.0
2023,新竹喜來登大飯店,108295.0,23174.0,131469.0,68676.0,2805.0,27755.0,6421.0,579.0,4302.0,1669.0,275.0,2960.0,4202.0
2023,豐邑喜來登大飯店,66772.0,14320.0,81092.0,41077.0,1794.0,17627.0,4063.0,374.0,2777.0,1091.0,160.0,1917.0,2657.0
2023,馥藝金鬱金香酒店,77790.0,25117.0,102907.0,99219.0,560.0,218.0,310.0,468.0,219.0,119.0,6.0,395.0,781.0
2023,涵碧樓大飯店,48555.0,9693.0,58248.0,50460.0,1012.0,3001.0,151.0,346.0,606.0,256.0,166.0,384.0,638.0
2023,雲品溫泉酒店日月潭,85774.0,38303.0,124077.0,112168.0,656.0,5834.0,63.0,1077.0,1408.0,190.0,709.0,345.0,691.0
2023,日月潭力麗溫德姆溫泉酒店,5676.0,5645.0,11321.0,9440.0,32.0,837.0,14.0,51.0,12.0,26.0,57.0,635.0,30.0
2023,阿里山賓館(歷史館),3748.0,1607.0,5355.0,5171.0,14.0,53.0,5.0,14.0,31.0,14.0,4.0,5.0,14.0
2023,名都觀光渡假大飯店,9973.0,17895.0,27868.0,27592.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,阿里山賓館(現代館),41954.0,17980.0,59934.0,57191.0,141.0,837.0,58.0,293.0,634.0,166.0,26.0,73.0,153.0
2023,凱撒大飯店,143176.0,41827.0,185003.0,173672.0,890.0,1725.0,3057.0,1855.0,410.0,123.0,38.0,487.0,1645.0
2023,墾丁福華渡假飯店,137062.0,77680.0,214742.0,207695.0,702.0,1198.0,874.0,702.0,135.0,245.0,23.0,315.0,2192.0
2023,墾丁怡灣渡假酒店,68027.0,37458.0,105485.0,54029.0,12.0,212.0,33.0,694.0,0.0,4.0,0.0,174.0,87.0
2023,知本老爺大酒店,90315.0,20757.0,111072.0,106927.0,331.0,935.0,36.0,497.0,120.0,138.0,0.0,78.0,1654.0
2023,娜路彎大酒店,115138.0,15611.0,130749.0,125931.0,43.0,187.0,23.0,276.0,43.0,13.0,3.0,50.0,99.0
2023,樂樂日暉溫泉酒店,14955.0,0.0,14955.0,14955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,台東桂田喜來登酒店,62323.0,46548.0,108871.0,105256.0,158.0,1915.0,51.0,207.0,289.0,32.0,429.0,278.0,4.0
2023,東旭觀海酒店,2376.0,1556.0,3932.0,3930.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,花蓮翰品酒店,76987.0,8312.0,85299.0,80533.0,714.0,547.0,312.0,852.0,970.0,313.0,168.0,129.0,416.0
