year,month,city,hotel_name,total_rooms,rooms_used,occupancy_rate,avg_price,room_revenue,food_revenue,total_revenue,employees,individual_guests,group_guests,total_guests,domestic_guests,japan_guests,korea_guests,hk_mo_guests,usa_guests,domestic_ratio,international_ratio,individual_ratio,revpar,star_rank,star_rating,has_star
2023,1,嘉義市,耐斯王子大飯店,245.0,4018,52.903225806451616,4016.617471378795,16138769,16843513,35693829,140,8249,4176,12425,12102,35,189,0,5,0.9740040241448692,0.025995975855130804,0.6639034205231389,2124.9202106649113,5.0,五星級,1
2023,1,嘉義市,鈺通大飯店,120.0,2030,54.56989247311827,2518.630541871921,5112820,8026206,13182878,54,2613,1320,3933,3928,0,0,0,3,0.9987287058225274,0.001271294177472626,0.6643783371472158,1374.4139784946235,3.0,三星級,1
2023,1,嘉義縣,名都觀光渡假大飯店,97.0,843,28.03458596607915,3905.493475682088,3292331,2493804,5905242,55,2236,692,2928,2928,0,0,0,0,1.0,0.0,0.7636612021857924,1094.8889258397073,3.0,三星級,1
2023,1,嘉義縣,阿里山賓館(歷史館),35.0,411,37.88018433179723,11382.88321167883,4678365,0,4678365,11,824,353,1177,1148,1,0,0,13,0.9753610875106202,0.024638912489379772,0.7000849617672048,4311.857142857142,4.0,四星級,1
2023,1,嘉義縣,阿里山賓館(現代館),104.0,1994,61.848635235732004,11455.07923771314,22841428,9190816,33289985,116,4021,1723,5744,5606,3,2,0,63,0.975974930362117,0.02402506963788298,0.7000348189415042,7084.81017369727,4.0,四星級,1
2023,1,基隆市,長榮桂冠酒店(基隆),140.0,2649,61.036866359447004,4570.243865609664,12106576,7954354,23789878,89,6036,335,6371,6105,25,14,27,25,0.9582483126667714,0.04175168733322865,0.947417987757024,2789.5336405529947,5.0,五星級,1
2023,1,宜蘭縣,凱渡廣場酒店,285.0,118,1.335597057159027,9890.449152542373,1167073,199320,1436793,77,318,0,318,318,0,0,0,0,1.0,0.0,1.0,132.09654782116587,,無星等/未評鑑,0
2023,1,宜蘭縣,山泉大飯店,146.0,2266,50.06628369421122,2688.80052956752,6092822,827281,7284319,37,3026,2095,5121,4455,0,0,552,0,0.8699472759226714,0.1300527240773286,0.5909002148017966,1346.182501104728,3.0,三星級,1
2023,1,宜蘭縣,幼獅大飯店,53.0,312,18.98965307364577,1973.717948717949,615800,0,647800,9,102,82,184,184,0,0,0,0,1.0,0.0,0.5543478260869565,374.8021911138162,3.0,三星級,1
2023,1,宜蘭縣,悅川酒店,103.0,2131,66.73974318822424,5279.515720319099,11250648,8310334,19560982,92,1492,639,2131,2131,0,0,0,0,1.0,0.0,0.7001407789770061,3523.5352333228934,4.0,四星級,1
